node_id,longitude,latitude,zone_id,borough
595,-74.001693,40.735534,248,Manhattan
596,-74.001684,40.730581,113,Manhattan
597,-74.001683,40.715745,230,Manhattan
598,-74.001663,40.732318,248,Manhattan
599,-74.001654,40.733706,248,Manhattan
600,-74.001637,40.76132,245,Manhattan
601,-74.001597,40.726119,210,Manhattan
602,-74.001574,40.735128,248,Manhattan
603,-74.001573,40.707808,208,Manhattan
604,-74.001566,40.717299,230,Manhattan
605,-74.001555,40.74108,89,Manhattan
606,-74.001553,40.735797,248,Manhattan
607,-74.001463,40.737168,248,Manhattan
608,-74.001447,40.721252,210,Manhattan
609,-74.00143,40.751445,67,Manhattan
610,-74.001425,40.719938,210,Manhattan
611,-74.001421,40.756424,245,Manhattan
612,-74.001413,40.731065,248,Manhattan
613,-74.001403,40.722556,210,Manhattan
614,-74.00139,40.72766,113,Manhattan
615,-74.001389,40.734483,248,Manhattan
616,-74.001345,40.707277,208,Manhattan
617,-74.001326,40.746492,67,Manhattan
618,-74.001311,40.762068,245,Manhattan
619,-74.001205,40.733843,248,Manhattan
620,-74.001189,40.72917,113,Manhattan
621,-74.001182,40.707364,208,Manhattan
622,-74.001177,40.710111,44,Manhattan
623,-74.001167,40.731774,248,Manhattan
624,-74.001129,40.741668,89,Manhattan
625,-74.001127,40.724166,210,Manhattan
626,-74.001103,40.733439,248,Manhattan
627,-74.001095,40.736564,248,Manhattan
628,-74.001062,40.761957,245,Manhattan
629,-74.00102,40.730246,113,Manhattan
630,-74.001014,40.75204,245,Manhattan
631,-74.000988,40.717932,230,Manhattan
632,-74.000965,40.757025,245,Manhattan
633,-74.000954,40.731706,113,Manhattan
634,-74.000906,40.752183,245,Manhattan
635,-74.000901,40.748801,67,Manhattan
636,-74.000898,40.725773,210,Manhattan
637,-74.00086,40.708791,208,Manhattan
638,-74.000848,40.747147,67,Manhattan
639,-74.000818,40.71693,44,Manhattan
640,-74.000789,40.715291,44,Manhattan
641,-74.000722,40.735926,248,Manhattan
642,-74.000703,40.73324,248,Manhattan
643,-74.000703,40.742254,67,Manhattan
644,-74.000661,40.72084,210,Manhattan
645,-74.000657,40.722183,210,Manhattan
646,-74.000647,40.73723,248,Manhattan
647,-74.000632,40.727287,113,Manhattan
648,-74.000622,40.719552,143,Manhattan
649,-74.000564,40.762627,49,Manhattan
650,-74.000549,40.757609,245,Manhattan
651,-74.000532,40.71843,230,Manhattan
652,-74.000527,40.752688,67,Manhattan
653,-74.000511,40.732315,248,Manhattan
654,-74.000499,40.729988,113,Manhattan
655,-74.000486,40.708348,208,Manhattan
656,-74.000452,40.714372,44,Manhattan
657,-74.000435,40.728794,113,Manhattan
658,-74.000399,40.747767,67,Manhattan
